ID,Tags,val_acc1,val_acc5,val_acc1_total,val_acc5_total,val_loss,task_id,num_exemplary,train_type,stdout,exp_name,exp_num
IMP-516,"[""inference:False""]",16.9,45.61,43.278,72.556,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 43.28, acc@5: 72.56",parameter_control,11
IMP-515,"[""inference:False""]",32.08,65.85,54.51800000000001,83.158,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 54.52, acc@5: 83.16",parameter_control,3
IMP-514,"[""inference:False""]",46.32,75.45,59.663,85.929,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 59.66, acc@5: 85.93",parameter_control,7
IMP-513,"[""inference:False""]",39.6,74.51,56.547000000000004,85.548,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 56.55, acc@5: 85.55",parameter_control,20
IMP-512,"[""inference:False""]",30.15,63.6,58.83,85.049,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 58.83, acc@5: 85.05",parameter_control,10
IMP-511,"[""inference:False""]",47.1,78.87,60.586,87.314,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 60.59, acc@5: 87.31",parameter_control,6
IMP-510,"[""inference:False""]",40.5,74.07,55.569,84.81700000000001,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 55.57, acc@5: 84.82",parameter_control,26
IMP-509,"[""inference:False""]",43.84,75.33,60.17,86.583,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 60.17, acc@5: 86.58",parameter_control,2
IMP-508,"[""inference:False""]",48.47,79.9,62.357000000000006,88.278,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 62.36, acc@5: 88.28",parameter_control,14
IMP-507,"[""inference:False""]",47.74,79.35,63.62700000000001,88.855,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 63.63, acc@5: 88.86",parameter_control,23
IMP-506,"[""inference:False""]",48.4,80.69,62.42399999999999,88.55199999999999,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 62.42, acc@5: 88.55",parameter_control,29
IMP-505,"[""inference:False""]",44.87,74.66,58.77199999999999,85.442,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 58.77, acc@5: 85.44",parameter_control,17
IMP-504,"[""inference:False""]",49.65,80.99,62.587,88.564,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 62.59, acc@5: 88.56",parameter_control,16
IMP-503,"[""inference:False""]",40.95,74.28,56.55,85.434,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 56.55, acc@5: 85.43",parameter_control,22
IMP-502,"[""inference:False""]",40.67,73.88,55.55099999999999,84.469,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 55.55, acc@5: 84.47",parameter_control,28
IMP-501,"[""inference:False""]",42.4,75.14,54.907000000000004,83.815,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 54.91, acc@5: 83.81",parameter_control,19
IMP-500,"[""inference:False""]",42.58,74.36,53.459,82.618,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 53.46, acc@5: 82.62",parameter_control,9
IMP-499,"[""inference:False""]",40.08,71.79,60.26400000000001,86.45,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 60.26, acc@5: 86.45",parameter_control,13
IMP-498,"[""inference:False""]",4.68,18.09,28.020000000000003,53.367000000000004,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 28.02, acc@5: 53.37",parameter_control,1
IMP-497,"[""inference:False""]",49.22,80.94,63.44000000000001,89.276,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 63.44, acc@5: 89.28",parameter_control,25
IMP-496,"[""inference:False""]",44.32,74.95,59.574,85.90400000000001,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 59.57, acc@5: 85.90",parameter_control,5
IMP-495,"[""inference:False""]",31.32,65.16,59.25300000000001,85.61699999999999,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 59.25, acc@5: 85.62",parameter_control,21
IMP-494,"[""inference:False""]",45.6,76.41,59.583000000000006,86.208,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 59.58, acc@5: 86.21",parameter_control,4
IMP-493,"[""inference:False""]",46.49,75.62,60.968,86.774,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 60.97, acc@5: 86.77",parameter_control,15
IMP-492,"[""inference:False""]",46.05,78.08,61.781000000000006,87.855,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 61.78, acc@5: 87.86",parameter_control,12
IMP-491,"[""inference:False""]",39.98,75.13,56.206,85.181,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 56.21, acc@5: 85.18",parameter_control,24
IMP-490,"[""inference:False""]",44.08,77.23,57.486000000000004,85.371,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 57.49, acc@5: 85.37",parameter_control,8
IMP-489,"[""inference:False""]",47.44,80.14,61.00899999999999,87.866,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 61.01, acc@5: 87.87",parameter_control,18
IMP-488,"[""inference:False""]",26.5,58.75,57.289,83.615,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 57.29, acc@5: 83.61",parameter_control,0
IMP-487,"[""inference:False""]",50.46,81.92,63.41300000000001,89.50699999999998,0.0,9.0,2000.0,icarl,"Total Average Accuracy - acc@1: 63.41, acc@5: 89.51",parameter_control,27
